iso3c,year,ca_gdp
PLW,2008,-17.0211494509807
PLW,2007,-18.0239126758864
PLW,2006,-25.1985586649969
PLW,2005,-20.7264943599223
PAN,2020,0.215312493460061
PAN,2019,-5.14448028576959
PAN,2018,-7.8841929882064
PAN,2017,-5.82243144680319
PAN,2016,-7.54284614415131
PAN,2015,-8.69390485549667
PAN,2014,-12.9838146932933
PAN,2013,-8.69806985425653
PAN,2012,-8.97959013068533
PAN,2011,-12.658129153843
PAN,2010,-10.3251596563382
PAN,2009,-0.763910450905961
PAN,2008,-8.89223139636047
PAN,2007,-5.4315809612409
PAN,2006,-2.48020850513372
PAN,2005,-6.40102243525954
PAN,2004,-6.92308557013031
PAN,2003,-4.22833726856686
PAN,2002,-0.883534990053261
PAN,2001,-1.5588138412991
PAN,2000,-5.8404727562183
PAN,1999,-9.97538332576209
PAN,1998,-9.10381367653388
PAN,1997,-5.03735296832826
PAN,1996,-2.18102666519342
PAN,1995,-4.9154915141079
PAN,1994,0.169775846124911
PAN,1993,-1.08965635563305
PAN,1992,-3.28511447610562
PAN,1991,-3.40793015877548
PAN,1990,3.2499389567898
PAN,1989,1.88393290441391
PAN,1988,12.221353065403
PAN,1987,7.98076613392282
PAN,1986,-1.45487514243875
PAN,1985,1.14805172641068
PNG,2020,14.3372352654886
PNG,2019,14.3799231097493
PNG,2018,13.6302697156748
PNG,2017,15.9024612947226
PNG,2016,13.6287612457147
PNG,2015,11.2064023719229
PNG,2014,12.1393177239905
PNG,2013,-16.2256819496775
PNG,2012,-10.7881600289652
PNG,2011,-1.10018483437862
PNG,2010,-4.50849152932172
PNG,2009,-5.09167321110671
PNG,2008,6.81299167765164
PNG,2007,1.89447675578743
PNG,2006,5.27638088337677
PNG,2005,13.3520776079467
PNG,2004,4.79140919548251
PNG,2003,4.01861390427818
PNG,2002,-0.83771505987784
PNG,2001,9.28741777969622
PNG,2000,9.95921732839905
PNG,1999,3.45089237039663
PNG,1998,1.24749695919347
PNG,1997,-2.0058122434283
PNG,1996,6.07669181615827
PNG,1995,14.5331456032702
PNG,1994,10.3379652434895
PNG,1993,12.9825853243472
PNG,1992,2.17092948220248
PNG,1991,-3.98899067197516
PNG,1990,-2.35026712017846
PNG,1989,-8.81704901407699
PNG,1988,-8.10587100563077
PNG,1987,-6.29430865088511
PNG,1986,-3.70461190024242
PNG,1985,-5.02418007846705
PRY,2020,2.38698954162871
PRY,2019,-0.162746811735708
PRY,2018,0.230707060235558
PRY,2017,3.67698851016908
PRY,2016,4.58868258924039
PRY,2015,-0.217870478352238
PRY,2014,-0.786915039842047
PRY,2013,0.833944389699589
PRY,2012,-1.88545344964744
PRY,2011,-0.732894985327404
PRY,2010,-1.13361355132455
PRY,2009,1.77539259441597
PRY,2008,0.374841642433333
PRY,2007,4.36238494214342
PRY,2006,1.24447680615271
PRY,2005,-0.628692309199553
PRY,2004,-0.101927990310014
PRY,2003,0.221163990286845
PRY,2002,8.61307588678674
PRY,2001,-0.375729695210563
PRY,2000,-2.79049501871093
PRY,1999,1.56971889454463
PRY,1998,1.42468424398124
PRY,1997,-5.50597618386607
PRY,1996,-0.707053011808279
PRY,1995,-2.39891387766325
PRY,1994,-3.48241172235135
PRY,1993,0.815224855768091
PRY,1992,-0.800567351484838
PRY,1991,1.21843526699717
PRY,1990,6.7118429696366
PRY,1989,5.37230741995177
PRY,1988,-4.9392770538631
PRY,1987,-12.3342856620109
PRY,1986,-9.79861958976583
PRY,1985,-7.66805461171508
PER,2020,0.781293621318144
PER,2019,-0.726098966731838
